"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
13.000,0.00122,-0.02,-0.33
13.025,7.07403E-4,-0.02,-0.18
13.050,1.93481E-5,-0.03,0.00
13.075,-6.73530E-4,-0.02,0.19
13.100,-0.00119,-0.02,0.36
13.125,-0.00155,0.00,0.44
13.150,-0.00139,0.01,0.42
13.175,-0.00105,0.02,0.31
13.200,-3.63317E-4,0.03,0.13
13.225,3.24627E-4,0.03,-0.09
13.250,0.00102,0.02,-0.29
13.275,0.00155,0.01,-0.42
13.300,0.00155,0.00,-0.45
13.325,0.00139,-0.01,-0.38
13.350,8.79417E-4,-0.02,-0.24
13.375,1.91362E-4,-0.03,-0.06
13.400,-4.96693E-4,-0.03,0.15
13.425,-0.00119,-0.02,0.34
13.450,-0.00155,-0.01,0.46
13.475,-0.00156,0.01,0.46
13.500,-0.00122,0.02,0.35
13.525,-5.35304E-4,0.03,0.17
13.550,1.52641E-4,0.03,-0.03
13.575,8.45439E-4,0.02,-0.22
13.600,0.00137,0.02,-0.39
13.625,0.00172,0.00,-0.48
13.650,0.00156,-0.01,-0.44
13.675,0.00105,-0.02,-0.29
13.700,3.63376E-4,-0.03,-0.08
13.725,-3.24679E-4,-0.03,0.13
13.750,-0.00102,-0.02,0.30
13.775,-0.00137,-0.01,0.42
13.800,-0.00156,0.00,0.45
13.825,-0.00122,0.01,0.36
13.850,-7.07290E-4,0.02,0.20
13.875,-1.93450E-5,0.03,0.01
13.900,6.73450E-4,0.02,-0.17
13.925,0.00119,0.02,-0.33
13.950,0.00155,0.01,-0.43
13.975,0.00156,-0.01,-0.43
14.000,0.00122,-0.02,-0.32
14.025,5.35389E-4,-0.02,-0.13
14.050,-1.57500E-4,-0.02,0.07
14.075,-6.73530E-4,-0.02,0.23
14.100,-0.00120,-0.01,0.34
14.125,-0.00138,0.00,0.38
14.150,-0.00121,0.01,0.35
14.175,-8.74457E-4,0.02,0.26
14.200,-3.63317E-4,0.02,0.12
14.225,3.24627E-4,0.02,-0.06
14.250,0.00102,0.02,-0.25
14.275,0.00137,0.01,-0.38
14.300,0.00155,-8.23E-4,-0.43
14.325,0.00139,-0.01,-0.38
14.350,8.79417E-4,-0.02,-0.23
14.375,1.91362E-4,-0.03,-0.04
14.400,-5.01520E-4,-0.02,0.16
14.425,-0.00102,-0.02,0.30
14.450,-0.00138,-0.01,0.40
14.475,-0.00138,0.00,0.42
14.500,-0.00122,0.02,0.36
14.525,-5.35304E-4,0.02,0.19
14.550,1.52641E-4,0.03,-0.02
14.575,8.45439E-4,0.02,-0.23
14.600,0.00137,0.01,-0.37
14.625,0.00155,0.00,-0.43
14.650,0.00156,-0.01,-0.42
14.675,0.00105,-0.02,-0.31
14.700,5.40237E-4,-0.03,-0.13
14.725,-3.24679E-4,-0.03,0.09
14.750,-0.00102,-0.02,0.29
14.775,-0.00137,-0.01,0.40
14.800,-0.00155,8.26E-4,0.44
14.825,-0.00139,0.01,0.40
14.850,-8.79276E-4,0.02,0.27
14.875,-1.96164E-4,0.03,0.05
14.900,6.73450E-4,0.03,-0.18
14.925,0.00119,0.02,-0.35
14.950,0.00155,0.01,-0.44
14.975,0.00156,-0.01,-0.44
15.000,0.00122,-0.02,-0.36
15.025,7.12254E-4,-0.03,-0.19
15.050,-1.52666E-4,-0.03,0.04
15.075,-8.45541E-4,-0.02,0.26
15.100,-0.00137,-0.01,0.41
15.125,-0.00155,-3.21E-4,0.45
15.150,-0.00139,0.01,0.39
15.175,-8.74457E-4,0.02,0.26
15.200,-3.68146E-4,0.03,0.09
15.225,5.01460E-4,0.03,-0.11
15.250,0.00102,0.02,-0.29
15.275,0.00155,0.01,-0.40
15.300,0.00155,0.00,-0.43
15.325,0.00139,-0.01,-0.37
15.350,8.79417E-4,-0.02,-0.24
15.375,1.91362E-4,-0.03,-0.05
15.400,-4.96693E-4,-0.03,0.17
15.425,-0.00119,-0.02,0.36
15.450,-0.00155,0.00,0.45
15.475,-0.00139,0.01,0.42
15.500,-0.00105,0.02,0.30
15.525,-5.35304E-4,0.02,0.15
15.550,1.52641E-4,0.03,-0.03
15.575,8.45439E-4,0.02,-0.23
15.600,0.00137,0.01,-0.37
15.625,0.00155,0.00,-0.43
15.650,0.00139,-0.01,-0.39
15.675,0.00105,-0.02,-0.28
15.700,3.63376E-4,-0.03,-0.11
15.725,-3.24679E-4,-0.03,0.10
15.750,-0.00102,-0.02,0.29
15.775,-0.00137,-0.01,0.42
15.800,-0.00156,0.00,0.45
15.825,-0.00122,0.01,0.36
15.850,-7.07290E-4,0.02,0.20
15.875,-1.93450E-5,0.03,0.01
15.900,6.73450E-4,0.02,-0.17
15.925,0.00119,0.02,-0.32
15.950,0.00155,0.01,-0.41
15.975,0.00156,-0.01,-0.41
16.000,0.00122,-0.02,-0.33
16.025,7.07403E-4,-0.02,-0.18
16.050,1.93481E-5,-0.03,0.00
16.075,-6.73530E-4,-0.02,0.19
16.100,-0.00119,-0.02,0.36
16.125,-0.00155,0.00,0.44
16.150,-0.00139,0.01,0.42
16.175,-0.00105,0.02,0.30
16.200,-3.63317E-4,0.03,0.11
16.225,3.24627E-4,0.03,-0.09
16.250,0.00102,0.02,-0.27
16.275,0.00137,0.01,-0.39
16.300,0.00155,-8.23E-4,-0.43
16.325,0.00139,-0.01,-0.39
16.350,8.79417E-4,-0.02,-0.26
16.375,1.91362E-4,-0.03,-0.06
16.400,-4.96693E-4,-0.03,0.16
16.425,-0.00119,-0.02,0.35
16.450,-0.00155,-0.01,0.44
16.475,-0.00138,0.01,0.43
16.500,-0.00122,0.02,0.33
16.525,-5.35304E-4,0.02,0.17
16.550,1.52641E-4,0.03,-0.04
16.575,8.45439E-4,0.02,-0.24
16.600,0.00137,0.01,-0.38
16.625,0.00155,0.00,-0.43
16.650,0.00139,-0.01,-0.39
